Geography,Cases,Rate per 100000
"Troup County, GA","456","653.6"
"Turner County, GA","61","742.6"
"Twiggs County, GA","37","441.0"
"Union County, GA","18","80.8"
"Upson County, GA","130","493.0"
"Walker County, GA","132","193.9"
"Walton County, GA","430","486.4"
"Ware County, GA","327","924.5"
"Warren County, GA","30","549.5"
"Washington County, GA","209","1004.0"
"Wayne County, GA","143","484.2"
"Webster County, GA","13","490.9"
"Wheeler County, GA","27","341.6"
"White County, GA","52","183.6"
"Whitfield County, GA","365","350.2"
"Wilcox County, GA","38","429.0"
"Wilkes County, GA","78","790.5"
"Wilkinson County, GA","51","557.1"
"Worth County, GA","85","410.6"
"Hawaii County, HI","682","347.2"
"Honolulu County, HI","5,399","540.6"
"Kalawao County, HI","0","0.0"
"Kauai County, HI","184","256.5"
"Maui County, HI","632","383.9"
"Ada County, ID","1,824","420.1"
"Adams County, ID","0","0.0"
"Bannock County, ID","356","425.1"
"Bear Lake County, ID","11","185.7"
"Benewah County, ID","23","254.1"
"Bingham County, ID","140","311.2"
"Blaine County, ID","36","166.7"
"Boise County, ID","12","170.0"
"Bonner County, ID","79","188.7"
"Bonneville County, ID","404","367.0"
"Boundary County, ID","11","97.2"
"Butte County, ID","2","80.0"
"Camas County, ID","3","281.4"
"Canyon County, ID","928","447.3"
"Caribou County, ID","12","177.3"
"Cassia County, ID","69","293.5"
"Clark County, ID","0","0.0"
"Clearwater County, ID","21","247.2"
"Custer County, ID","3","73.4"
"Elmore County, ID","136","525.6"
"Franklin County, ID","18","137.7"
"Fremont County, ID","10","78.0"
"Gem County, ID","52","308.6"
"Gooding County, ID","34","222.5"
"Idaho County, ID","23","141.3"
"Jefferson County, ID","40","147.3"
"Jerome County, ID","97","425.2"
"Kootenai County, ID","496","329.9"
"Latah County, ID","139","358.5"
"Lemhi County, ID","21","271.5"
"Lewis County, ID","17","448.7"
"Lincoln County, ID","9","169.9"
"Madison County, ID","28","73.2"
"Minidoka County, ID","67","327.5"
"Nez Perce County, ID","183","457.0"
"Oneida County, ID","6","140.2"
"Owyhee County, ID","32","282.9"
"Payette County, ID","45","196.5"
"Power County, ID","33","431.5"
"Shoshone County, ID","46","370.0"
"Teton County, ID","17","160.9"
"Twin Falls County, ID","379","460.1"
"Valley County, ID","20","198.0"
"Washington County, ID","15","150.2"
"Adams County, IL","246","367.1"
"Alexander County, IL","51","752.2"
"Bond County, IL","31","182.9"
"Boone County, IL","157","293.0"
"Brown County, IL","13","190.4"
"Bureau County, IL","77","229.3"
"Calhoun County, IL","5","102.1"
"Carroll County, IL","24","164.2"
"Cass County, IL","43","334.7"
"Champaign County, IL","1,423","681.3"
"Christian County, IL","91","270.5"
"Clark County, IL","26","162.7"
"Clay County, IL","33","245.8"
"Clinton County, IL","82","217.0"
"Coles County, IL","342","651.2"
"Cook County, IL","41,056","783.8"
"Crawford County, IL","23","118.5"
"Cumberland County, IL","32","293.6"
"Dekalb County, IL","600","575.0"
"De Witt County, IL","38","233.9"
"Douglas County, IL","37","186.7"
"Dupage County, IL","2,417","258.9"
"Edgar County, IL","52","294.4"
"Edwards County, IL","13","199.0"
"Effingham County, IL","67","194.9"
"Fayette County, IL","28","127.0"
"Ford County, IL","26","189.3"
"Franklin County, IL","119","301.4"
"Fulton County, IL","65","182.1"
"Gallatin County, IL","14","265.9"
"Greene County, IL","13","98.2"
"Grundy County, IL","90","178.1"
"Hamilton County, IL","17","207.3"
"Hancock County, IL","39","210.3"
"Hardin County, IL","11","266.0"
"Henderson County, IL","23","328.8"
"Henry County, IL","131","264.7"
"Iroquois County, IL","98","341.8"
"Jackson County, IL","659","1110.1"
"Jasper County, IL","20","208.2"
"Jefferson County, IL","153","398.9"
"Jersey County, IL","40","178.8"
"Jo Daviess County, IL","25","113.2"
"Johnson County, IL","35","274.3"
"Kane County, IL","1,947","366.8"
"Kankakee County, IL","570","514.1"
"Kendall County, IL","364","295.1"
"Knox County, IL","231","449.1"
"Lake County, IL","3,042","432.2"
"Lasalle County, IL","337","302.7"
"Lawrence County, IL","31","188.0"
"Lee County, IL","88","254.5"
"Livingston County, IL","96","261.8"
"Logan County, IL","131","444.2"
"Mcdonough County, IL","239","762.8"
"Mchenry County, IL","710","231.0"
"Mclean County, IL","885","511.1"
"Macon County, IL","787","733.4"
"Macoupin County, IL","127","275.8"
"Madison County, IL","1,091","409.8"
"Marion County, IL","143","373.0"
"Marshall County, IL","22","183.6"
"Mason County, IL","39","284.7"
"Massac County, IL","44","298.0"
"Menard County, IL","31","249.1"
"Mercer County, IL","24","151.3"
"Monroe County, IL","66","194.8"
"Montgomery County, IL","58","200.7"
"Morgan County, IL","136","390.5"
"Moultrie County, IL","33","221.0"
"Ogle County, IL","128","247.8"
"Peoria County, IL","1,587","852.2"
"Perry County, IL","49","227.5"
"Piatt County, IL","38","231.9"
"Pike County, IL","32","200.1"
"Pope County, IL","38","899.2"
"Pulaski County, IL","23","405.1"
"Putnam County, IL","7","124.0"
"Randolph County, IL","61","185.7"
"Richland County, IL","41","255.8"
