Geography,Cases,Rate per 100000
"Ogle County, IL","152","287.8"
"Peoria County, IL","1,542","824.1"
"Perry County, IL","66","301.9"
"Piatt County, IL","36","217.9"
"Pike County, IL","61","375.0"
"Pope County, IL","32","739.0"
"Pulaski County, IL","36","603.3"
"Putnam County, IL","14","238.1"
"Randolph County, IL","104","315.3"
"Richland County, IL","51","315.2"
"Rock Island County, IL","712","482.0"
"St. Clair County, IL","2,121","789.5"
"Saline County, IL","92","368.5"
"Sangamon County, IL","1,369","686.9"
"Schuyler County, IL","13","174.4"
"Scott County, IL","8","151.2"
"Shelby County, IL","44","197.8"
"Stark County, IL","14","235.7"
"Stephenson County, IL","209","445.3"
"Tazewell County, IL","453","332.8"
"Union County, IL","27","153.2"
"Vermilion County, IL","552","683.1"
"Wabash County, IL","25","213.3"
"Warren County, IL","45","253.8"
"Washington County, IL","25","171.1"
"Wayne County, IL","36","216.6"
"White County, IL","31","213.0"
"Whiteside County, IL","183","316.7"
"Will County, IL","2,149","314.9"
"Williamson County, IL","223","334.0"
"Winnebago County, IL","1,728","591.8"
"Woodford County, IL","72","184.8"
"Adams County, IN","62","180.1"
"Allen County, IN","2,030","562.5"
"Bartholomew County, IN","203","257.2"
"Benton County, IN","20","227.1"
"Blackford County, IN","34","271.1"
"Boone County, IN","143","242.1"
"Brown County, IN","15","99.6"
"Carroll County, IN","34","169.0"
"Cass County, IN","82","211.9"
"Clark County, IN","429","383.4"
"Clay County, IN","74","275.8"
"Clinton County, IN","98","297.5"
"Crawford County, IN","24","225.4"
"Daviess County, IN","101","314.2"
"Dearborn County, IN","88","176.9"
"Decatur County, IN","32","122.8"
"Dekalb County, IN","95","224.6"
"Delaware County, IN","660","562.4"
"Dubois County, IN","73","173.4"
"Elkhart County, IN","792","397.5"
"Fayette County, IN","65","271.3"
"Floyd County, IN","302","400.8"
"Fountain County, IN","44","257.2"
"Franklin County, IN","28","121.8"
"Fulton County, IN","34","164.6"
"Gibson County, IN","77","229.3"
"Grant County, IN","293","423.2"
"Greene County, IN","79","239.3"
"Hamilton County, IN","480","165.7"
"Hancock County, IN","188","266.0"
"Harrison County, IN","92","235.5"
"Hendricks County, IN","316","209.7"
"Henry County, IN","133","270.0"
"Howard County, IN","252","304.0"
"Huntington County, IN","85","229.8"
"Jackson County, IN","138","320.7"
"Jasper County, IN","63","188.2"
"Jay County, IN","45","210.6"
"Jefferson County, IN","126","387.5"
"Jennings County, IN","98","347.7"
"Johnson County, IN","487","339.2"
"Knox County, IN","190","499.4"
"Kosciusko County, IN","175","225.5"
"Lagrange County, IN","33","87.7"
"Lake County, IN","2,619","531.0"
"Laporte County, IN","469","421.7"
"Lawrence County, IN","127","275.9"
"Madison County, IN","539","413.8"
"Marion County, IN","10,109","1100.3"
"Marshall County, IN","65","138.3"
"Martin County, IN","24","232.6"
"Miami County, IN","82","224.7"
"Monroe County, IN","619","438.0"
"Montgomery County, IN","107","280.3"
"Morgan County, IN","203","293.4"
"Newton County, IN","26","184.9"
"Noble County, IN","120","253.0"
"Ohio County, IN","16","262.0"
"Orange County, IN","51","259.0"
"Owen County, IN","68","318.3"
"Parke County, IN","72","421.1"
"Perry County, IN","25","128.7"
"Pike County, IN","32","250.4"
"Porter County, IN","369","222.6"
"Posey County, IN","64","249.8"
"Pulaski County, IN","17","130.1"
"Putnam County, IN","123","326.7"
"Randolph County, IN","60","232.1"
"Ripley County, IN","64","224.0"
"Rush County, IN","43","251.0"
"St. Joseph County, IN","1,085","407.1"
"Scott County, IN","83","349.3"
"Shelby County, IN","111","250.2"
"Spencer County, IN","54","258.8"
"Starke County, IN","19","81.9"
"Steuben County, IN","65","190.3"
"Sullivan County, IN","44","207.4"
"Switzerland County, IN","21","202.0"
"Tippecanoe County, IN","882","494.3"
"Tipton County, IN","13","82.7"
"Union County, IN","6","81.8"
"Vanderburgh County, IN","907","501.5"
"Vermillion County, IN","28","175.5"
"Vigo County, IN","468","431.0"
"Wabash County, IN","53","163.4"
"Warren County, IN","18","214.6"
"Warrick County, IN","114","188.5"
"Washington County, IN","55","196.9"
"Wayne County, IN","228","333.9"
"Wells County, IN","67","241.8"
"White County, IN","84","344.3"
"Whitley County, IN","70","210.3"
